Category,Question,Answer
FAQ BMBF-Förderung,Umfassen die Ausgaben für Literatur in der Position F0840 auch die kostenpflichtige Nutzung von Literaturdatenbanken?,"Wenn die kostenpflichtige Nutzung von Literaturdatenbanken für die Durchführung des Projektes erforderlich ist, sind die Ausgaben dafür zuwendungsfähig."
FAQ BMBF-Förderung,Ab welchem Betrag müssen Geräte abgeschrieben werden und bis zu welchem Betrag können Geräte ähnlich wie Verbrauchsmaterial bestellt werden?,Bitte benutzen Sie zur Beantwortung dieser Frage die AfA-Tabellen des Bundesfinanzministeriums.
FAQ BMBF-Förderung,Ab welcher Grenze müssen bei einer Beauftragung mehrere Angebote eingeholt werden?,"Der Projektträger kann an dieser Stelle leider keine Vergaberechtsberatung durchführen. Bei der Vergabe eines Auftrages sind die einschlägigen Bestimmungen der Unterschwellenvergabeordnung (UVgO), der …"
FAQ BMBF-Förderung,Ab wieviel Mitarbeitern gilt eine Firma als Großunternehmen und nicht mehr als mittelgroßes Unternehmen?,Für die Einstufung als KMU ( meist ab 250 Personen) ist neben der Anzahl der Mitarbeiter auch die Höhe der Bilanzsumme oder des Jahresumsatzes zu berücksichtigen.
FAQ BMBF-Förderung,An wen kann ich mich für eine Antragsberatung wenden?,Ansprechpersonen für eine Antragsberatung sind der Förderbekanntmachung zu entnehmen.
FAQ BMBF-Förderung,An wen wir der Zwischenbericht versendet?,Der Zwischenbericht für das vorangegangene Projektjahr wird an den zuständigen Bearbeitendem (beim Projektträger) gesandt.
FAQ BMBF-Förderung,Bis wann kann die Jahressonderzahlung im Projekt abgerechnet werden?,Die Jahressonderzahlung kann nur entsprechend dem Verursachungsanteil im Bewilligungszeitraum des geförderten Vorhabens (x/12; sog. Zwölftel-Regelung) und sofern die Auszahlung spätestens bis zur …
FAQ BMBF-Förderung,Bis wann kann die Mittelverschiebung beantragt werden?,Eine Mittelverschiebung von nicht benötigten Mitteln im aktuellen Haushaltsjahr ist spätestens mit der letzten Zahlungsanforderung eines Kalenderjahres zu beantragen. Der Termin zur Einreichung der …
FAQ BMBF-Förderung,Bis wann muss der Zwischennachweis/ Zwischenbericht eingereicht werden?,Die Zwischennachweise sind bis spätestens zum 30. April des Folgejahres einzureichen. Der Projektträger erinnert in einer E-Mail am Anfang des Kalenderjahres an diesen Termin.
FAQ BMBF-Förderung,Bis zu welcher Ausgabenhöhe können Gegenstände in der Position 0831 abgerechnet werden?,"Gegenstände in der Position 0831 (Gegenstände bis zu 800 € im Einzelfall) können bis zu einer Höhe von 799,99 Euro im Einzelfall beantragt und abgerechnet werden."
FAQ BMBF-Förderung,Darf das Konsortium nur aus Forschungseinrichtungen bestehen?,Bitte entnehmen Sie die Information zu den Antragsberechtigten der jeweiligen Förderbekanntmachung.
FAQ BMBF-Förderung,Darf ein Meeting im Ausland stattfinden?,"Dienen Projekttreffen im Ausland dem Erreichen des Vorhabenziels und kann begründet werden, weshalb diese im Ausland stattfinden müssen, können sie förderfähig sein. (Zuwendungsfähig sind Kosten oder …"
FAQ BMBF-Förderung,Darf ein/eine Antragsteller:in auch mehrere Anträge stellen?,"Es können von einer Rechtsperson gleichzeitig Anträge zu unterschiedlichen Förderbekanntmachungen eingereicht werden. Dabei ist sicher zu stellen, dass die vorhandenen Personalkapazitäten, sowie die …"
FAQ BMBF-Förderung,Darf eine Mittelanforderung für mehrere Monate erfolgen?,"Förderprojekte, die auf Ausgabenbasis gefördert werden haben mit der Zahlungsanforderung die Möglichkeit, neben den bereits entstandenen Ausgaben Schätzausgaben für die nächsten 6 Wochen abzurechnen …"
FAQ BMBF-Förderung,Darf ich das Formular online signieren?,Das Easy-Online Formular darf auch online signiert und eingereicht werden. Dabei muss es sich um eine qualifizierte elektronische Signatur handeln. Dafür ist ein Kartenlesegerät mit Softwaretreiber …
FAQ BMBF-Förderung,Darf öffentlich finanziertes Personal über das Projekt finanziert werden?,"Personalausgaben, die durch öffentliche Haushalte gedeckt sind, dürfen nicht über das Projekt beantragt/abgerechnet werden."
FAQ BMBF-Förderung,Dürfen Abschreibungskosten aufgeführt werden?,"Zuwendungsempfänger:innen, die auf Kostenbasis abrechnen, können Kosten für Abschreibungen auf ""vorhabenspezifische Anlagen"" in der Position 0847 beantragen. Zu beachten ist, dass es sich bei den …"
FAQ BMBF-Förderung,Dürfen Antragsteller:innen auf Ausgabenbasis nach Landesreisekostengesetz abrechnen?,Universitäten und Forschungseinrichtungen dürfen nach Landesreisekostengesetz abrechnen.
FAQ BMBF-Förderung,Dürfen die Geräte abgeschrieben werden?,"Antrag auf Kostenbasis Abschreibungen für vorhabenspezifische Anlagen, die gesondert für das Vorhaben angeschafft oder hergestellt werden und nicht zur betriebsüblichen Grundausstattung gehören …"
FAQ BMBF-Förderung,Dürfen die Kosten/Ausgaben für Stellenausschreibungen abgerechnet werden?,Diese Kosten/Ausgaben sind grundsätzlich nicht förderbar. Hochschulen können hierfür die Projektpauschale nutzen. Bei Unternehmen der gewerblichen Wirtschaft sind solche Kosten in den Gemeinkosten …
FAQ BMBF-Förderung,Dürfen die Vorhabenbeschreibungen in Englisch verfasst werden?,"Vorhabenbeschreibungen sind in deutscher Sprache zu verfassen. Ausnahmen können Projekte bilden, die im Rahmen einer europäischen Maßnahme durchgeführt werden. Nähere Informationen zu den …"
FAQ BMBF-Förderung,"Dürfen Kosten für Veranstaltungen, Schulungen oder Seminare abgerechnet werden?","Kosten oder Ausgaben für Veranstaltungen, Schulungen oder Seminare sind mit dem Antrag zu beantragen. Wurden diese bewilligt, können sie abgerechnet werden. Ob Kosten oder Ausgaben für Veranstaltungen …"
FAQ BMBF-Förderung,Dürfen Zinsen aus der Projektpauschale gezahlt werden?,Hochschulen können für Forschungsvorhaben ergänzend zu dem Zuschuss zu den zuwendungsfähigen Ausgaben eine Projektpauschale in Höhe von 20 % der Zuwendung pauschal erhalten. Die Projektpauschale soll …
FAQ BMBF-Förderung,Gibt es Beleglisten in profi-online?,In profi-Online sind keine Vorlagen für Beleglisten verfügbar. Sie können die Beleglisten aus dem Forularschrank des Bundes nutzen.
FAQ BMBF-Förderung,Gibt es ein Formular für Inventarliste?,Es gibt keinen Vordruck für die Inventarisierungsliste. Sie können selber eine Liste erstellen. Gerne können Sie die Belegliste auch entsprechend erweitern. Wichtig dabei ist die Zuordnung der …
FAQ BMBF-Förderung,Gibt es ein Formular für Zwischenbericht?,"Neben dem Zwischennachweis, müssen Sie das Formular für Zwischenberichte einreichen. Hier finden Sie die richtigen Formulare, je nachdem nach welcher Art Sie Fördermittel beantragen: Antrag auf …"
FAQ BMBF-Förderung,Gibt es eine finanzielle Obergrenze für Hotelbesuche?,Bei der Obergrenze für Hotelbesuche können Sie sich an das Bundesreisekostengesetz halten.
FAQ BMBF-Förderung,Gibt es eine jährliche Begrenzung von Zahlungsanforderungen?,Für auf Ausgabenbasis geförderte Vorhaben ist keine Begrenzung der Anzahl der Zahlungsanforderungen (ZA) vorgesehen. Aufgrund der möglichen Schätzung von Ausgaben für die folgenden 6 Wochen erscheint …
FAQ BMBF-Förderung,Gibt es eine Vorlage für die Geräteliste?,Eine Vorlage für die Geräteliste gibt es nicht. Sie wird auf der Basis der für Ihr Vorhaben bewilligten Geräte durch VDIVDE IT GmbH erstellt und ist eine Anlage zum Zuwendungsbescheid.
FAQ BMBF-Förderung,Gibt es eine Vorlage für einen Teilantrag?,"Sofern Ihre Skizze im Rahmen des Auswahlverfahrens ausgewählt wurde, erhalten Sie von VDIVDE IT GmbH eine E-Mail mit allen wichtigen Informationen zur Antragstellung. Der Link zu Antragstellung in …"
FAQ BMBF-Förderung,Gibt es einen Höchstwert für Aufträge?,Es gibt keinen Höchstwert für Aufträge. Jedoch muss das Verhältnis von Eigentätigkeit im Projekt und Fremdleistung in Verhältnis stehen. Ab bestimmten Auftragssummen bei FE-Aufträgen ist auch ein …
FAQ BMBF-Förderung,Gibt es einen Vordruck für den Sachbericht des Verwendungsnachweises?,"Es gibt keinen Vordruck für Sachberichte. Je nachdem auf welcher Basis Sie Fördermitteln beantragen, verwenden Sie die jeweiligen Sachberichte für AZK und jeweils die Sachberichte für AZA ."
FAQ BMBF-Förderung,Gibt es im Formularschrank des BMBF einen Vordruck für die Zahlungsanforderung?,Im Fall einer Förderung ist das Tool profi-Online zu nutzen.
FAQ BMBF-Förderung,In welchen Zyklen können die Gelder abgerufen werden?,"""Antragstellende auf Kostenbasis rechten quartalsweise für das 1. bis 3. Quartal ab. Und zwar immer im Monat danach, d.h. z.B. das 1. Quartal wird im Monat April mit einer Zahlungsanforderung …"
FAQ BMBF-Förderung,In welcher Höhe werden KMU gefördert?,"Die Förderhöhe für KMU, sowie die Möglichkeit der Berücksichtigung eines KMU Bonus, sind der jeweiligen Förderbekanntmachung zu entnehmen."
FAQ BMBF-Förderung,In welcher Kategorie des AZA Antrages sollen Geräte eingetragen werden?,Geräte mit einem Anschaffungswert bis 800 Euro werden in der Position 0850 beantragt. Geräte mit einem Anschaffungswert über 800 Euro werden in der Position 0861 beantragt.
FAQ BMBF-Förderung,In welcher Position darf Software abgerechnet werden?,"Wenn es sich nicht um Lizenzen handelt, sondern die Software angeschafft werden soll, ist entscheidend, ob der Betrag für die Anschaffung unter 800 € liegt. Dann ist sie in der Position 0831 zu planen …"
FAQ BMBF-Förderung,In welcher Position des Antrages sollen die Ausgaben für Publikationen angesetzt werden?,In der Position 0843 dürfen Sie Kosten und die Ausgaben für Publikationen ansetzen. Ausgaben für Publikationen sind im Antrag in der Position 0841 zu planen und dafür die Bezeichnung Publikationen zu …
FAQ BMBF-Förderung,In welcher Position können Fortbildungen angesetzt bzw. abgerechnet werden?,Assoziierte Partnern nehmen Aufgaben im Projekt wahr. Diese sind allerdings gegenüber den Fördermittelgeber:innen nicht rechenschaftspflichtig. Der Konsortialvertrag stellt daher eine gute Option dar …
